Fecha,Provincia,Marca,Venta Total,Iva,Sub Total
2024-01-01,Azuay,American Deli,20140.93,3021.14,17119.79
2024-01-02,Azuay,American Deli,22465.63,3369.84,19095.79
2024-01-03,Azuay,American Deli,26009.33,3901.4,22107.93
2024-01-04,Azuay,American Deli,24405.65,3660.85,20744.8
2024-01-05,Azuay,American Deli,18221.56,2733.23,15488.33
2024-01-06,Azuay,American Deli,30237.27,4535.59,25701.68
2024-01-07,Azuay,American Deli,29619.69,4442.95,25176.74
2024-01-08,Azuay,American Deli,29425.46,4413.82,25011.64
2024-01-09,Azuay,American Deli,26643.44,3996.52,22646.92
2024-01-10,Azuay,American Deli,22311.06,3346.66,18964.4
2024-01-11,Azuay,American Deli,18925.7,2838.86,16086.84
2024-01-12,Azuay,American Deli,23766.44,3564.97,20201.47
2024-01-13,Azuay,American Deli,24797.41,3719.61,21077.8
2024-01-14,Azuay,American Deli,18104.48,2715.67,15388.81
2024-01-15,Azuay,American Deli,18639.09,2795.86,15843.23
2024-01-16,Azuay,American Deli,30025.8,4503.87,25521.93
2024-01-17,Azuay,American Deli,19861.25,2979.19,16882.06
2024-01-18,Azuay,American Deli,19288.06,2893.21,16394.85
2024-01-19,Azuay,American Deli,15582.14,2337.32,13244.82
2024-01-20,Azuay,American Deli,15342.56,2301.38,13041.18
2024-01-21,Azuay,American Deli,20426.65,3064.0,17362.65
2024-01-22,Azuay,American Deli,24464.12,3669.62,20794.5
2024-01-23,Azuay,American Deli,26740.54,4011.08,22729.46
2024-01-24,Azuay,American Deli,21606.9,3241.04,18365.86
2024-01-25,Azuay,American Deli,21379.69,3206.95,18172.74
2024-01-26,Azuay,American Deli,17469.71,2620.46,14849.25
2024-01-27,Azuay,American Deli,16797.92,2519.69,14278.23
2024-01-28,Azuay,American Deli,16755.66,2513.35,14242.31
2024-01-29,Azuay,American Deli,17169.78,2575.47,14594.31
2024-01-30,Azuay,American Deli,28412.88,4261.93,24150.95
2024-01-31,Azuay,American Deli,15484.39,2322.66,13161.73
